Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2012-10-01,2360,,1650,,,,,,,
2012-10-02,2360,,1650,,,,,,,
2012-10-03,2360,,1650,,,,,,,
2012-10-04,2360,,1650,,,,,,,
2012-10-05,2360,,1650,,,,,,,
2012-10-06,2360,,1650,,,,,,,
2012-10-07,2360,,1650,,,,,,,
2012-10-08,2360,,1650,,,,,,,
2012-10-09,2360,,1650,,,,,,,
2012-10-10,2360,,1650,,,,,,,
2012-10-11,2360,,1650,,,,,,,
2012-10-12,2360,,1650,,,,,,,
2012-10-13,2360,,1650,,,,,,,
2012-10-14,2360,,1650,,,,,,,
2012-10-15,2360,,1650,,3240,1860,1250,,,
2012-10-16,2360,,1650,,,,,,,
2012-10-17,2360,,1650,,,,,,,
2012-10-18,2360,,1650,,,,,,,
2012-10-19,2360,,1650,,,,,,,
2012-10-20,2360,,1650,,,,,,,
2012-10-21,2360,,1650,,,,,,,
2012-10-22,2360,,1650,,,,,,,
2012-10-23,2360,,1650,,,,,,,
2012-10-24,2360,,1650,,,,,,,
2012-10-25,2360,,1650,,3220,1800,1180,,,
2012-10-26,2360,,1650,,,,,,,
2012-10-27,2360,,1650,,,,,,,
2012-10-28,2360,,1650,,,,,,,
2012-10-29,2360,,1650,,,,,,,
2012-10-30,2360,,1650,,,,,,,
2012-10-31,2360,,1650,,2990,1750,1180,,,
2012-11-01,2360,,1650,,2890,1730,1170,,,
2012-11-02,2360,,1650,,2810,1730,1170,,,
2012-11-03,2360,,1650,,,,,,,
2012-11-04,2360,,1650,,,,,,,
2012-11-05,2360,,1650,,2800,1690,1170,,,
2012-11-06,2360,,1650,,2790,1690,1170,,,
2012-11-07,2360,,1650,,,,,,,
2012-11-08,2360,,1650,,2800,1690,1160,,,
2012-11-09,2360,,1650,,2780,1660,1160,,,
2012-11-10,2360,,1650,,,,,,,
2012-11-11,2360,,1650,,,,,,,
2012-11-12,2360,,1650,,,,,,,
2012-11-13,2360,,1650,,2730,1730,1160,,,
2012-11-14,2360,,1650,,2710,1690,1130,,,
2012-11-15,2360,,1650,,2700,1660,1110,,,
2012-11-16,2360,,1650,,2670,1650,1100,,,
2012-11-17,2360,,1650,,,,,,,
2012-11-18,2360,,1650,,,,,,,
2012-11-19,2360,,1650,,2680,1660,1040,,,
2012-11-20,2360,,1650,,2680,1660,1040,,,
