Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2012-10-01,295,,86.8,,,,,,,
2012-10-02,295,,86.8,,,,,,,
2012-10-03,295,,86.8,,,,,,,
2012-10-04,295,,86.8,,,,,,,
2012-10-05,295,,86.8,,,,,,,
2012-10-06,295,,86.8,,,,,,,
2012-10-07,295,,86.8,,,,,,,
2012-10-08,295,,86.8,,,,,,,
2012-10-09,295,,86.8,,,,,,,
2012-10-10,295,,86.8,,,,,,,
2012-10-11,295,,86.8,,,,,,,
2012-10-12,295,,86.8,,,,,,,
2012-10-13,295,,86.8,,,,,,,
2012-10-14,295,,86.8,,,,,,,
2012-10-15,295,,86.8,,442,206,112,,,
2012-10-16,295,,86.8,,,,,,,
2012-10-17,295,,86.8,,,,,,,
2012-10-18,295,,86.8,,,,,,,
2012-10-19,295,,86.8,,,,,,,
2012-10-20,295,,86.8,,,,,,,
2012-10-21,295,,86.8,,,,,,,
2012-10-22,295,,86.8,,,,,,,
2012-10-23,295,,86.8,,,,,,,
2012-10-24,295,,86.8,,,,,,,
2012-10-25,295,,86.8,,436,197,107,,,
2012-10-26,295,,86.8,,,,,,,
2012-10-27,295,,86.8,,,,,,,
2012-10-28,295,,86.8,,,,,,,
2012-10-29,295,,86.8,,,,,,,
2012-10-30,295,,86.8,,,,,,,
2012-10-31,295,,86.8,,420,190,105,,,
2012-11-01,295,,86.8,,417,190,105,,,
2012-11-02,295,,86.8,,414,189,105,,,
2012-11-03,295,,86.8,,,,,,,
2012-11-04,295,,86.8,,,,,,,
2012-11-05,295,,86.8,,418,185,105,,,
2012-11-06,295,,86.8,,418,183,104,,,
2012-11-07,295,,86.8,,,,,,,
2012-11-08,295,,86.8,,412,185,103,,,
2012-11-09,295,,86.8,,406,182,102,,,
2012-11-10,295,,86.8,,,,,,,
2012-11-11,295,,86.8,,,,,,,
2012-11-12,295,,86.8,,,,,,,
