year,vol
1981,113.9
1982,340.4
1983,500.4
1984,488.5
1985,493.9
1986,448.6
1987,466.0
1988,193.7
1989,185.2
1990,115.6
1991,235.3
1992,299.1
1993,519.1
1994,239.2
1995,470.0
1996,147.0
1997,460.8
1998,318.4
1999,312.0
2000,202.5
2001,209.0
2002,45.2
2003,146.2
2004,199.6
2005,423.4
2006,145.1
2007,204.8
2008,374.7
2009,255.0
2010,246.9
2011,275.0
2012,120.4
2013,84.1
2014,173.5
2015,226.1
2016,240.9
2017,345.5
