Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2012-10-01,245,,82.9,,,,,,,
2012-10-02,245,,82.9,,,,,,,
2012-10-03,245,,82.9,,,,,,,
2012-10-04,245,,82.9,,,,,,,
2012-10-05,245,,82.9,,,,,,,
2012-10-06,245,,82.9,,,,,,,
2012-10-07,245,,82.9,,,,,,,
2012-10-08,245,,82.9,,,,,,,
2012-10-09,245,,82.9,,,,,,,
2012-10-10,245,,82.9,,,,,,,
2012-10-11,245,,82.9,,,,,,,
2012-10-12,245,,82.9,,,,,,,
2012-10-13,245,,82.9,,,,,,,
2012-10-14,245,,82.9,,,,,,,
2012-10-15,245,,82.9,,350,184,105,,,
2012-10-16,245,,82.9,,,,,,,
2012-10-17,245,,82.9,,,,,,,
2012-10-18,245,,82.9,,,,,,,
2012-10-19,245,,82.9,,,,,,,
2012-10-20,245,,82.9,,,,,,,
2012-10-21,245,,82.9,,,,,,,
2012-10-22,245,,82.9,,,,,,,
2012-10-23,245,,82.9,,,,,,,
2012-10-24,245,,82.9,,,,,,,
2012-10-25,245,,82.9,,349,173,99.8,,,
2012-10-26,245,,82.9,,,,,,,
2012-10-27,245,,82.9,,,,,,,
2012-10-28,245,,82.9,,,,,,,
2012-10-29,245,,82.9,,,,,,,
2012-10-30,245,,82.9,,,,,,,
2012-10-31,245,,82.9,,345,166,95.3,,,
2012-11-01,245,,82.9,,339,165,95.3,,,
2012-11-02,245,,82.9,,337,163,95.3,,,
2012-11-03,245,,82.9,,,,,,,
2012-11-04,245,,82.9,,,,,,,
2012-11-05,245,,82.9,,331,157,94.9,,,
2012-11-06,245,,82.9,,331,156,93.7,,,
2012-11-07,245,,82.9,,,,,,,
2012-11-08,245,,82.9,,329,156,92.8,,,
2012-11-09,245,,82.9,,330,154,91,,,
2012-11-10,245,,82.9,,,,,,,
2012-11-11,245,,82.9,,,,,,,
2012-11-12,245,,82.9,,,,,,,
2012-11-13,245,,82.9,,322,163,101,,,
2012-11-14,245,,82.9,,315,158,98.5,,,
2012-11-15,245,,82.9,,314,149,98,,,
2012-11-16,245,,82.9,,311,145,96.9,,,
2012-11-17,245,,82.9,,,,,,,
2012-11-18,245,,82.9,,,,,,,
2012-11-19,245,,82.9,,305,140,95.3,,,
2012-11-20,245,,82.9,,292,140,95.6,,,
2012-11-21,245,,82.9,,288,139,94.8,,,
2012-11-22,245,,82.9,,,,,,,
2012-11-23,245,,82.9,,,,,,,
2012-11-24,245,,82.9,,,,,,,
2012-11-25,245,,82.9,,,,,,,
2012-11-26,245,,82.9,,275,136,80.1,,,
2012-11-27,245,,82.9,,272,131,78.6,,,
2012-11-28,245,,82.9,,275,131,78.9,,,
2012-11-29,245,,82.9,,270,130,78.2,,,
2012-11-30,245,,82.9,,268,130,78.1,,,
2012-12-01,245,,82.9,,261,128,77.2,,,
2012-12-02,245,,82.9,,259,128,77.3,,,
2012-12-03,245,,82.9,,250,128,77.5,,,
2012-12-04,245,,82.9,,230,116,66.7,,,
2012-12-05,245,,82.9,,230,118,68.4,,,
2012-12-06,245,,82.9,,,,,,,
2012-12-07,245,,82.9,,,,,,,
2012-12-08,245,,82.9,,,,,,,
2012-12-09,245,,82.9,,228,109,67.4,,,
2012-12-10,245,,82.9,,225,110,68.1,,,
2012-12-11,245,,82.9,,223,111,68.6,,,
2012-12-12,245,,82.9,,223,110,68.2,,,
2012-12-13,245,,82.9,,222,110,68.1,,,
2012-12-14,245,,82.9,,215,107,67.1,,,
2012-12-15,245,,82.9,,226,118,72,,,
2012-12-16,245,,82.9,,229,120,74.8,,,
2012-12-17,245,,82.9,,224,117,75.8,,,
2012-12-18,245,,82.9,,225,115,76.8,,,
2012-12-19,245,,82.9,,234,122,81.9,,,
2012-12-20,245,,82.9,,237,126,84.5,,,
2012-12-21,245,,82.9,,248,137,90.9,,,
2012-12-22,245,,82.9,,247,136,86.1,,,
2012-12-23,245,,82.9,,224,127,77.9,,,
2012-12-24,245,,82.9,,221,127,73.1,,,
2012-12-25,245,,82.9,,223,129,73.1,,,
2012-12-26,245,,82.9,,224,129,72.2,,,
2012-12-27,245,,82.9,,228,133,71.9,,,
2012-12-28,245,,82.9,,228,132,71.3,,,
