Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP max,ESP 10,ESP 30,ESP 50,ESP 70,ESP 90,ESP min,ESP max (wo Obs),ESP 10 (wo Obs),ESP 30 (wo Obs),ESP 50 (wo Obs),ESP 70 (wo Obs),ESP 90 (wo Obs),ESP min (wo Obs)
2016-10-01,2360,,2200,,,,,,,,,,,,,,,
2016-10-02,2360,,2200,,,,,,,,,,,,,,,
2016-10-03,2360,,2200,,,,,,,,,,,,,,,
2016-10-04,2360,,2200,,,,,,,,,,,,,,,
2016-10-05,2360,,2200,,,,,,,,,,,,,,,
2016-10-06,2360,,2200,,,,,,,,,,,,,,,
2016-10-07,2360,,2200,,,,,,,,,,,,,,,
2016-10-08,2360,,2200,,,,,,,,,,,,,,,
2016-10-09,2360,,2200,,,,,,,,,,,,,,,
2016-10-10,2360,,2200,,,,,,,,,,,,,,,
2016-10-11,2360,,2200,,,,,,,,,,,,,,,
2016-10-12,2360,,2200,,,,,,,,,,,,,,,
2016-10-13,2360,,2200,,,,,,,,,,,,,,,
2016-10-14,2360,,2200,,,,,,,,,,,,,,,
2016-10-15,2360,,2200,,,,,,,,,,,,,,,
2016-10-16,2360,,2200,,,,,,,,,,,,,,,
2016-10-17,2360,,2200,,,,,,,,,,,,,,,
2016-10-18,2360,,2200,,,,,,,,,,,,,,,
2016-10-19,2360,,2200,,,,,,,,,,,,,,,
2016-10-20,2360,,2200,,,,,,,,,,,,,,,
2016-10-21,2360,,2200,,,,,,,,,,,,,,,
2016-10-22,2360,,2200,,,,,,,,,,,,,,,
2016-10-23,2360,,2200,,,,,,,,,,,,,,,
2016-10-24,2360,,2200,,,,,,,,,,,,,,,
2016-10-25,2360,,2200,,,,,,,,,,,,,,,
2016-10-26,2360,,2200,,,,,,,,,,,,,,,
2016-10-27,2360,,2200,,,,,,,,,,,,,,,
2016-10-28,2360,,2200,,,,,,,,,,,,,,,
2016-10-29,2360,,2200,,,,,,,,,,,,,,,
2016-10-30,2360,,2200,,,,,,,,,,,,,,,
2016-10-31,2360,,2200,,,,,,,,,,,,,,,
2016-11-01,2360,,2200,,,,,,,,,,,,,,,
2016-11-02,2360,,2200,,,,,,,,,,,,,,,
2016-11-03,2360,,2200,,,,,,,,,,,,,,,
2016-11-04,2360,,2200,,,,,,,,,,,,,,,
2016-11-05,2360,,2200,,,,,,,,,,,,,,,
2016-11-06,2360,,2200,,,,,,,,,,,,,,,
2016-11-07,2360,,2200,,,,,,,,,,,,,,,
2016-11-08,2360,,2200,,,,,,,,,,,,,,,
2016-11-09,2360,,2200,,,,,,,,,,,,,,,
2016-11-10,2360,,2200,,,,,,,,,,,,,,,
2016-11-11,2360,,2200,,,,,,,,,,,,,,,
2016-11-12,2360,,2200,,,,,,,,,,,,,,,
2016-11-13,2360,,2200,,,,,,,,,,,,,,,
2016-11-14,2360,,2200,,,,,,,,,,,,,,,
2016-11-15,2360,,2200,,,,,,,,,,,,,,,
2016-11-16,2360,,2200,,,,,,,,,,,,,,,
2016-11-17,2360,,2200,,,,,,,,,,,,,,,
2016-11-18,2360,,2200,,,,,,,,,,,,,,,
2016-11-19,2360,,2200,,,,,,,,,,,,,,,
2016-11-20,2360,,2200,,,,,,,,,,,,,,,
2016-11-21,2360,,2200,,,,,,,,,,,,,,,
2016-11-22,2360,,2200,,,,,,,,,,,,,,,
2016-11-23,2360,,2200,,,,,,,,,,,,,,,
2016-11-24,2360,,2200,,,,,,,,,,,,,,,
2016-11-25,2360,,2200,,,,,,,,,,,,,,,
2016-11-26,2360,,2200,,,,,,,,,,,,,,,
2016-11-27,2360,,2200,,,,,,,,,,,,,,,
2016-11-28,2360,,2200,,,,,,,,,,,,,,,
2016-11-29,2360,,2200,,,,,,,,,,,,,,,
2016-11-30,2360,,2200,,,,,,,,,,,,,,,
2016-12-01,2360,,2200,,,,,,,,,,,,,,,
2016-12-02,2360,,2200,,,,,,,,,,,,,,,
2016-12-03,2360,,2200,,,,,,,,,,,,,,,
2016-12-04,2360,,2200,,,,,,,,,,,,,,,
2016-12-05,2360,,2200,,,,,,,,,,,,,,,
2016-12-06,2360,,2200,,,,,,,,,,,,,,,
2016-12-07,2360,,2200,,,,,,,,,,,,,,,
2016-12-08,2360,,2200,,,,,,,,,,,,,,,
2016-12-09,2360,,2200,,3180,2820,2060,1730,1460,1050,712,,,,,,,
2016-12-10,2360,,2200,,3230,2850,2100,1740,1500,1080,732,,,,,,,
2016-12-11,2360,,2200,,3350,2970,2220,1830,1570,1140,792,,,,,,,
2016-12-12,2360,,2200,,3400,3010,2270,1860,1590,1160,817,,,,,,,
2016-12-13,2360,,2200,,3390,2970,2260,1860,1560,1160,810,,,,,,,
2016-12-14,2360,,2200,,3370,2940,2240,1820,1550,1150,790,,,,,,,
2016-12-15,2360,,2200,,3430,2960,2310,1880,1590,1190,822,,,,,,,
2016-12-16,2360,,2200,,3480,3000,2290,1950,1610,1210,867,,,,,,,
2016-12-17,2360,,2200,,3770,3250,2520,2160,1810,1380,1010,,,,,,,
2016-12-18,2360,,2200,,3770,3260,2510,2130,1790,1380,1000,,,,,,,
2016-12-19,2360,,2200,,3740,3230,2500,2120,1750,1380,1000,,,,,,,
2016-12-20,2360,,2200,,3720,3210,2460,2090,1700,1360,986,,,,,,,
2016-12-21,2360,,2200,,3720,3200,2430,2050,1700,1360,980,,,,,,,
2016-12-22,2360,,2200,,3730,3200,2390,2060,1710,1360,980,,,,,,,
2016-12-23,2360,,2200,,3800,3250,2400,2100,1740,1410,1020,,,,,,,
2016-12-24,2360,,2200,,3800,3200,2400,2100,1720,1410,1020,,,,,,,
2016-12-25,2360,,2200,,3830,3210,2430,2120,1730,1430,1040,,,,,,,
2016-12-26,2360,,2200,,3870,3240,2450,2140,1750,1440,1050,,,,,,,
2016-12-27,2360,,2200,,3860,3230,2410,2130,1750,1420,1050,,,,,,,
2016-12-28,2360,,2200,,3900,3260,2430,2150,1770,1440,1070,,,,,,,
2016-12-29,2360,,2200,,3900,3260,2420,2150,1770,1430,1050,,,,,,,
2016-12-30,2360,,2200,,3900,3230,2420,2120,1770,1420,1040,,,,,,,
2016-12-31,2360,,2200,,3880,3210,2410,2080,1750,1400,1040,,,,,,,
2017-01-01,2360,,2200,,3880,3200,2380,2070,1750,1400,1030,,,,,,,
2017-01-02,2360,,2200,,3870,3200,2370,2060,1750,1380,1030,,,,,,,
2017-01-03,2360,,2200,,3940,3260,2420,2090,1800,1380,1070,,,,,,,
2017-01-04,2360,,2200,,3980,3280,2420,2120,1820,1380,1090,,,,,,,
2017-01-05,2360,,2200,,4120,3440,2540,2250,1930,1480,1170,,,,,,,
2017-01-06,2360,,2200,,4160,3520,2610,2310,1970,1520,1210,,,,,,,
2017-01-07,2360,,2200,,4130,3490,2620,2300,1980,1510,1200,,,,,,,
2017-01-08,2360,,2200,,4130,3500,2670,2350,2020,1540,1230,,,,,,,
2017-01-09,2360,,2200,,4260,3590,2790,2470,2120,1640,1300,,,,,,,
2017-01-10,2360,,2200,,4500,3820,2970,2700,2320,1820,1470,,,,,,,
2017-01-11,2360,,2200,,4580,3890,3020,2750,2370,1870,1520,,,,,,,
2017-01-12,2360,,2200,,4650,3970,3120,2850,2410,1960,1600,,,,,,,
2017-01-13,2360,,2200,,4710,4030,3160,2840,2450,2010,1640,,,,,,,
2017-01-14,2360,,2200,,4690,4010,3140,2820,2460,2030,1650,,,,,,,
2017-01-15,2360,,2200,,4680,3990,3120,2820,2450,2030,1650,,,,,,,
2017-01-16,2360,,2200,,4670,3980,3120,2820,2440,2020,1650,,,,,,,
2017-01-17,2360,,2200,,4620,3930,3090,2810,2410,2020,1630,,,,,,,
2017-01-18,2360,,2200,,4600,3850,3080,2800,2400,2020,1620,,,,,,,
2017-01-19,2360,,2200,,4580,3850,3030,2790,2370,2020,1610,,,,,,,
2017-01-20,2360,,2200,,4590,3800,3030,2790,2380,2020,1600,,,,,,,
2017-01-21,2360,,2200,,4620,3820,3040,2820,2400,2050,1620,,,,,,,
2017-01-22,2360,,2200,,4660,3840,3070,2820,2440,2070,1630,,,,,,,
2017-01-23,2360,,2200,,4700,3810,3060,2840,2450,2090,1620,,,,,,,
2017-01-24,2360,,2200,,4780,3880,3150,2860,2510,2160,1690,,,,,,,
2017-01-25,2360,,2200,,4770,3890,3090,2860,2500,2140,1690,,,,,,,
2017-01-26,2360,,2200,,4760,3880,3070,2820,2480,2110,1670,,,,,,,
2017-01-27,2360,,2200,,4730,3880,3050,2790,2490,2110,1670,,,,,,,
2017-01-28,2360,,2200,,,,,,,,,,,,,,,
2017-01-29,2360,,2200,,4700,3880,2970,2730,2490,2060,1670,,,,,,,
2017-01-30,2360,,2200,,4710,3890,2970,2720,2490,2060,1670,,,,,,,
