,Date,max,p10,p30,p50,p70,p90,min,Obs
0,2016-12-09,449,376,249,206,175,131,65.7,
1,2016-12-10,451,375,251,207,176,131,65.5,
2,2016-12-11,457,378,256,212,175,133,66.6,
3,2016-12-12,461,379,260,213,179,135,68.8,
4,2016-12-13,444,378,259,212,174,136,68.8,
5,2016-12-14,444,371,260,212,174,137,68.9,
6,2016-12-15,441,366,258,209,171,134,66.8,
7,2016-12-16,446,372,264,214,176,136,69.9,
8,2016-12-17,491,411,297,244,205,165,84,
9,2016-12-18,494,417,300,246,206,164,85.7,
10,2016-12-19,484,413,297,246,205,157,85.6,
11,2016-12-20,489,410,299,249,207,158,85.2,
12,2016-12-21,486,408,296,248,206,156,84.5,
13,2016-12-22,491,406,301,248,211,160,86.5,
14,2016-12-23,517,422,324,262,222,179,94.8,
15,2016-12-24,516,417,323,262,220,178,94.6,
16,2016-12-25,531,427,336,274,229,184,103,
17,2016-12-26,542,438,339,282,236,189,109,
18,2016-12-27,541,430,331,280,235,187,108,
19,2016-12-28,533,427,331,279,235,185,108,
20,2016-12-29,504,426,327,274,231,185,108,
21,2016-12-30,499,422,327,266,231,185,104,
22,2016-12-31,499,403,328,267,228,185,105,
23,2017-01-01,500,408,326,269,225,184,104,
24,2017-01-02,502,412,323,270,222,185,105,
25,2017-01-03,523,430,340,289,240,203,119,
26,2017-01-04,528,429,340,286,239,205,119,
27,2017-01-05,551,453,357,308,263,226,137,
28,2017-01-06,567,481,377,327,286,247,154,
29,2017-01-07,553,482,369,327,284,246,154,
30,2017-01-08,553,472,372,327,286,248,156,
31,2017-01-09,561,466,378,337,294,256,165,
32,2017-01-10,589,494,397,361,318,279,185,
33,2017-01-11,598,498,403,367,325,286,192,
34,2017-01-12,602,499,406,366,327,285,194,
35,2017-01-13,604,501,403,370,328,288,198,
36,2017-01-14,613,507,406,372,333,293,204,
37,2017-01-15,634,523,422,392,348,308,214,
38,2017-01-16,635,521,423,386,347,306,212,
39,2017-01-17,641,523,424,383,353,308,215,
40,2017-01-18,634,521,425,383,353,306,215,
41,2017-01-19,630,512,421,383,352,305,215,
42,2017-01-20,632,513,412,384,352,305,208,
43,2017-01-21,650,537,433,405,373,326,224,
44,2017-01-22,681,573,464,433,400,335,247,
45,2017-01-23,686,579,469,439,404,334,251,
46,2017-01-24,710,604,491,460,428,352,272,
47,2017-01-25,724,623,509,477,442,369,288,
48,2017-01-27,709,619,494,472,427,360,285,
49,2017-01-28,678,597,483,465,431,350,293,
50,2017-01-29,699,613,497,465,429,346,289,
51,2017-01-30,697,606,498,464,430,347,289,
52,2017-01-31,687,600,491,458,418,341,283,
53,2017-02-01,679,592,488,444,405,337,279,
54,2017-02-02,676,588,485,436,402,333,278,
55,2017-02-03,676,587,485,436,401,327,278,
56,2017-02-04,676,581,486,438,396,322,278,
57,2017-02-05,652,570,483,437,385,318,263,
58,2017-02-06,647,564,477,428,382,313,260,
59,2017-02-07,647,566,477,429,381,309,259,
60,2017-02-08,645,571,482,433,379,315,262,
61,2017-02-09,635,568,479,427,373,311,256,
62,2017-02-10,631,554,474,421,370,303,249,
63,2017-02-11,630,553,473,418,368,299,246,
64,2017-02-12,634,560,479,417,374,304,251,
65,2017-02-13,637,564,474,422,379,298,256,
66,2017-02-14,640,562,473,423,380,296,258,
67,2017-02-15,662,581,494,444,402,316,278,
68,2017-02-16,662,582,494,442,399,315,280,
69,2017-02-17,664,583,490,426,402,316,282,
70,2017-02-18,665,579,486,429,402,317,284,
71,2017-02-19,668,575,487,429,403,320,280,
72,2017-02-20,674,579,482,443,413,325,285,
73,2017-02-21,669,552,478,438,407,323,283,
74,2017-02-22,671,553,478,437,405,319,282,
75,2017-02-23,673,552,479,439,404,321,282,
76,2017-02-24,677,558,476,441,404,322,285,
77,2017-02-25,688,571,480,432,414,333,296,
78,2017-02-26,663,565,469,426,407,321,292,
79,2017-02-27,671,567,461,427,403,317,296,
80,2017-02-28,710,600,489,454,421,343,325,
81,2017-03-01,723,621,508,473,438,362,338,
82,2017-03-02,683,622,505,474,425,364,332,
83,2017-03-03,670,617,496,471,425,361,326,
84,2017-03-04,653,613,492,465,421,358,322,
85,2017-03-05,636,601,484,463,418,352,319,
86,2017-03-06,618,585,474,454,413,346,314,
87,2017-03-07,626,594,477,459,422,350,320,
88,2017-03-08,620,583,474,452,418,347,319,
89,2017-03-09,601,573,469,444,412,332,316,
90,2017-03-10,585,566,468,444,406,328,317,
91,2017-03-11,578,548,455,438,406,324,315,
92,2017-03-12,571,532,445,427,398,319,311,
93,2017-03-13,563,524,442,425,396,319,312,
94,2017-03-14,558,518,438,418,391,317,310,
95,2017-03-15,557,511,436,414,387,315,309,
96,2017-03-16,554,506,433,410,376,313,306,
97,2017-03-17,552,501,432,405,374,312,303,
98,2017-03-18,549,490,430,402,371,310,299,
99,2017-03-19,540,476,423,393,366,301,292,
100,2017-03-20,540,472,420,392,359,298,290,
101,2017-03-21,538,468,415,388,353,295,287,
102,2017-03-22,542,467,415,384,351,297,290,
103,2017-03-23,540,461,414,381,346,296,288,
104,2017-03-24,551,477,426,394,359,308,297,
105,2017-03-25,555,483,432,397,364,314,302,
106,2017-03-26,569,495,448,410,377,326,310,
107,2017-03-27,578,501,448,417,369,328,306,
108,2017-03-28,583,503,456,416,378,338,316,
109,2017-03-29,593,499,459,417,377,342,318,
110,2017-03-30,589,496,449,407,376,342,318,
111,2017-03-31,591,489,449,405,370,344,320,
112,2017-04-01,604,498,458,411,378,351,327,
113,2017-04-02,585,497,464,419,377,357,333,2.69
114,2017-04-03,561,485,459,412,374,355,332,5.02
115,2017-04-04,557,490,462,416,380,360,335,6.89
116,2017-04-05,556,497,466,414,385,365,342,9.18
117,2017-04-06,545,496,465,405,382,363,341,11
118,2017-04-07,543,496,463,401,381,357,340,12.7
119,2017-04-08,538,494,454,398,380,356,338,14.2
120,2017-04-09,536,492,444,397,378,352,337,16.2
121,2017-04-10,535,484,432,394,377,347,336,18.5
122,2017-04-11,532,480,431,393,374,343,334,21
123,2017-04-12,530,475,428,391,371,341,333,23.2
124,2017-04-13,532,475,425,388,366,338,331,25.4
125,2017-04-14,531,473,425,386,361,333,330,27.8
126,2017-04-15,529,471,421,388,360,331,329,31
127,2017-04-16,527,466,417,386,356,329,326,35
128,2017-04-17,522,461,415,382,355,328,326,39.2
129,2017-04-18,508,443,400,369,341,318,315,43.4
130,2017-04-19,503,429,386,366,337,314,307,47.8
131,2017-04-20,504,420,384,366,336,313,309,52.3
132,2017-04-21,503,415,382,365,335,309,305,57.4
133,2017-04-22,501,409,376,363,329,307,301,62.4
134,2017-04-23,500,406,373,360,321,305,299,66.7
135,2017-04-24,501,400,369,354,316,302,293,70.9
136,2017-04-25,499,397,366,351,314,300,292,75.3
137,2017-04-26,494,396,365,348,317,302,295,79.7
138,2017-04-27,493,395,364,352,324,308,296,83.8
139,2017-04-28,497,398,371,355,329,315,300,87.3
140,2017-04-29,499,402,374,356,333,317,305,90.6
141,2017-04-30,502,406,378,358,336,319,309,93.5
142,2017-05-01,501,406,376,353,342,321,314,95.4
143,2017-05-02,503,402,374,353,338,322,315,97.6
144,2017-05-03,487,383,356,338,323,310,299,99.7
145,2017-05-04,480,373,350,334,318,306,295,102
146,2017-05-05,472,370,345,333,316,306,296,104
147,2017-05-06,463,366,343,329,315,305,297,107
148,2017-05-07,441,362,342,327,314,304,297,111
149,2017-05-08,456,367,356,337,325,317,307,116
150,2017-05-09,445,365,348,331,318,311,303,122
