,Date,max,p10,p30,p50,p70,p90,min,Obs
151,2017-05-10,429,367,353,339,327,318,313,129
152,2017-05-11,436,375,358,342,332,323,318,135
153,2017-05-12,431,371,354,337,328,320,315,140
154,2017-05-13,424,369,346,332,325,317,313,145
155,2017-05-14,423,367,345,329,322,315,312,150
156,2017-05-15,423,366,345,328,321,315,309,155
157,2017-05-16,396,360,341,328,321,314,306,162
158,2017-05-17,377,356,341,328,320,313,306,168
159,2017-05-18,390,363,348,335,327,321,313,173
160,2017-05-19,396,370,350,338,330,325,316,178
161,2017-05-20,392,367,347,339,331,326,317,181
162,2017-05-21,372,361,346,338,328,325,317,184
163,2017-05-22,364,356,342,335,324,322,314,187
164,2017-05-23,365,359,343,337,326,324,316,189
165,2017-05-24,357,355,341,333,324,322,315,192
166,2017-05-25,356,355,342,333,325,322,316,195
167,2017-05-26,356,351,337,328,325,322,316,198
168,2017-05-27,357,351,337,329,326,323,317,203
169,2017-05-28,355,350,336,328,326,322,318,207
170,2017-05-29,354,349,336,328,325,322,318,212
171,2017-05-30,354,347,335,327,324,321,318,216
172,2017-06-01,350,346,336,330,326,323,321,226
173,2017-06-02,351,347,338,332,328,325,322,230
174,2017-06-03,351,345,337,332,328,325,322,234
175,2017-06-04,357,350,343,337,334,331,328,239
176,2017-06-05,357,349,343,335,333,331,328,244
177,2017-06-06,352,347,343,336,333,331,328,249
178,2017-06-07,349,346,342,335,333,330,328,254
179,2017-06-08,348,346,342,335,333,330,328,259
180,2017-06-09,348,346,341,336,333,332,330,264
181,2017-06-11,356,352,347,343,341,339,337,274
182,2017-06-12,356,352,347,342,341,338,337,279
183,2017-06-13,356,351,346,342,341,338,337,283
184,2017-06-14,356,350,345,341,340,338,336,287
185,2017-06-15,358,351,347,343,342,340,339,290
186,2017-06-16,357,350,346,342,341,339,338,293
187,2017-06-17,357,349,346,342,340,339,338,296
188,2017-06-18,357,347,345,342,340,339,338,298
189,2017-06-19,360,351,348,345,343,342,341,301
190,2017-06-20,362,352,349,346,343,343,342,304
191,2017-06-21,362,352,348,346,343,343,342,307
192,2017-06-22,362,352,348,346,343,343,342,310
193,2017-06-23,361,351,348,345,343,342,342,312
194,2017-06-24,361,351,347,345,343,342,341,314
195,2017-06-25,361,350,347,345,343,342,341,316
196,2017-06-26,361,349,346,344,342,341,341,318
197,2017-06-27,360,349,345,344,342,341,341,319
198,2017-06-28,359,348,345,342,342,341,341,320
199,2017-06-29,358,347,344,342,342,340,340,322
200,2017-06-30,357,347,344,342,341,340,340,322
201,2017-07-01,353,343,341,338,338,337,337,320
202,2017-07-02,352,343,340,338,337,337,337,321
203,2017-07-03,352,342,340,338,337,336,336,322
204,2017-07-04,351,342,340,338,337,336,336,322
205,2017-07-05,351,341,339,337,336,336,336,323
206,2017-07-06,351,340,338,337,336,335,335,324
207,2017-07-07,351,340,338,337,336,335,335,324
208,2017-07-08,350,339,337,336,335,335,335,325
209,2017-07-09,350,339,337,336,335,334,334,325
210,2017-07-10,345,339,336,336,335,334,334,326
211,2017-07-11,346,339,336,336,335,334,334,326
212,2017-07-12,347,340,337,336,335,335,335,327
213,2017-07-13,344,340,337,336,336,335,335,328
214,2017-07-14,343,340,337,336,336,335,335,329
215,2017-07-15,343,340,337,336,336,335,335,329
216,2017-07-16,343,339,337,336,336,336,336,330
217,2017-07-17,344,339,338,337,336,336,336,331
218,2017-07-18,345,340,338,337,337,336,336,332
219,2017-07-19,346,340,339,338,337,337,337,332
220,2017-07-20,346,341,339,339,338,338,338,333
221,2017-07-21,345,341,340,339,338,338,338,334
222,2017-07-22,347,342,341,340,339,339,339,335
223,2017-07-23,346,343,341,340,340,340,340,336
224,2017-07-24,346,343,341,341,340,340,340,337
225,2017-07-25,348,344,343,342,342,342,342,338
226,2017-07-26,348,345,343,343,342,342,342,339
227,2017-07-27,349,345,343,343,343,343,343,340
228,2017-07-28,347,344,343,343,343,343,343,341
229,2017-07-29,344,344,344,344,344,344,344,342
230,2017-07-30,345,344,344,344,344,344,344,343
231,2017-07-31,345,345,345,345,345,345,345,344
232,,,,,,,,,
