Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2012-10-01,565,,152,,,,,,,
2012-10-02,565,,152,,,,,,,
2012-10-03,565,,152,,,,,,,
2012-10-04,565,,152,,,,,,,
2012-10-05,565,,152,,,,,,,
2012-10-06,565,,152,,,,,,,
2012-10-07,565,,152,,,,,,,
2012-10-08,565,,152,,,,,,,
2012-10-09,565,,152,,,,,,,
2012-10-10,565,,152,,,,,,,
2012-10-11,565,,152,,,,,,,
2012-10-12,565,,152,,,,,,,
2012-10-13,565,,152,,,,,,,
2012-10-14,565,,152,,,,,,,
2012-10-15,565,,152,,892,345,178,,,
2012-10-16,565,,152,,,,,,,
2012-10-17,565,,152,,,,,,,
2012-10-18,565,,152,,,,,,,
2012-10-19,565,,152,,,,,,,
2012-10-20,565,,152,,,,,,,
2012-10-21,565,,152,,,,,,,
2012-10-22,565,,152,,,,,,,
2012-10-23,565,,152,,,,,,,
2012-10-24,565,,152,,,,,,,
2012-10-25,565,,152,,893,341,169,,,
2012-10-26,565,,152,,,,,,,
2012-10-27,565,,152,,,,,,,
2012-10-28,565,,152,,,,,,,
2012-10-29,565,,152,,,,,,,
2012-10-30,565,,152,,,,,,,
2012-10-31,565,,152,,838,333,166,,,
2012-11-01,565,,152,,823,332,166,,,
2012-11-02,565,,152,,823,331,165,,,
2012-11-03,565,,152,,,,,,,
2012-11-04,565,,152,,,,,,,
2012-11-05,565,,152,,794,327,166,,,
2012-11-06,565,,152,,795,324,164,,,
2012-11-07,565,,152,,,,,,,
2012-11-08,565,,152,,804,324,163,,,
2012-11-09,565,,152,,783,310,163,,,
2012-11-10,565,,152,,,,,,,
2012-11-11,565,,152,,,,,,,
2012-11-12,565,,152,,,,,,,
2012-11-13,565,,152,,788,312,181,,,
2012-11-14,565,,152,,779,308,174,,,
2012-11-15,565,,152,,781,308,168,,,
2012-11-16,565,,152,,771,300,165,,,
2012-11-17,565,,152,,,,,,,
2012-11-18,565,,152,,,,,,,
2012-11-19,565,,152,,748,298,158,,,
2012-11-20,565,,152,,713,298,158,,,
2012-11-21,565,,152,,700,288,157,,,
2012-11-22,565,,152,,,,,,,
2012-11-23,565,,152,,,,,,,
2012-11-24,565,,152,,,,,,,
2012-11-25,565,,152,,,,,,,
2012-11-26,565,,152,,622,278,149,,,
2012-11-27,565,,152,,602,254,147,,,
2012-11-28,565,,152,,613,253,147,,,
2012-11-29,565,,152,,596,248,146,,,
2012-11-30,565,,152,,591,247,145,,,
2012-12-01,565,,152,,574,243,143,,,
2012-12-02,565,,152,,575,242,142,,,
2012-12-03,565,,152,,554,241,141,,,
2012-12-04,565,,152,,526,226,131,,,
2012-12-05,565,,152,,529,229,132,,,
2012-12-06,565,,152,,,,,,,
2012-12-07,565,,152,,,,,,,
2012-12-08,565,,152,,,,,,,
2012-12-09,565,,152,,516,219,121,,,
2012-12-10,565,,152,,511,218,121,,,
2012-12-11,565,,152,,515,220,120,,,
2012-12-12,565,,152,,509,215,120,,,
2012-12-13,565,,152,,509,206,119,,,
2012-12-14,565,,152,,486,199,120,,,
2012-12-15,565,,152,,536,224,135,,,
2012-12-16,565,,152,,559,229,142,,,
2012-12-17,565,,152,,560,224,143,,,
2012-12-18,565,,152,,562,224,137,,,
2012-12-19,565,,152,,580,240,145,,,
2012-12-20,565,,152,,589,246,148,,,
2012-12-21,565,,152,,616,280,181,,,
2012-12-22,565,,152,,615,278,177,,,
2012-12-23,565,,152,,593,263,172,,,
2012-12-24,565,,152,,560,261,170,,,
2012-12-25,565,,152,,579,272,178,,,
2012-12-26,565,,152,,583,274,176,,,
2012-12-27,565,,152,,596,282,168,,,
2012-12-28,565,,152,,599,287,169,,,
2012-12-29,565,,152,,602,289,174,,,
2012-12-30,565,,152,,601,282,174,,,
2012-12-31,565,,152,,625,291,184,,,
2013-01-01,565,,152,,631,297,189,,,
2013-01-02,565,,152,,634,297,188,,,
2013-01-03,565,,152,,637,296,186,,,
2013-01-04,565,,152,,635,293,173,,,
2013-01-05,565,,152,,632,290,172,,,
